,Apples (dry),Apples (irr),Beef - modified land (dry),Beef - modified land (irr),Beef - natural land (dry),Citrus (dry),Citrus (irr),Cotton (dry),Cotton (irr),Dairy - modified land (dry),Dairy - modified land (irr),Dairy - natural land (dry),Grapes (dry),Grapes (irr),Hay (dry),Hay (irr),Nuts (dry),Nuts (irr),Other non-cereal crops (dry),Other non-cereal crops (irr),Pears (irr),Plantation fruit (dry),Plantation fruit (irr),Rice (irr),Sheep - modified land (dry),Sheep - modified land (irr),Sheep - natural land (dry),Stone fruit (dry),Stone fruit (irr),Sugar (dry),Sugar (irr),Summer cereals (dry),Summer cereals (irr),Summer legumes (dry),Summer legumes (irr),Summer oilseeds (dry),Summer oilseeds (irr),Tropical stone fruit (dry),Tropical stone fruit (irr),Unallocated - modified land (dry),Unallocated - natural land (dry),Vegetables (dry),Vegetables (irr),Winter cereals (dry),Winter cereals (irr),Winter legumes (dry),Winter legumes (irr),Winter oilseeds (dry),Winter oilseeds (irr),All
Dairy - modified land (irr),0,2,55,0,0,0,0,0,0,1536,1965,0,0,0,9,2,3,0,3,10,0,0,3,9,371,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0,0,12,18,33,4,0,18,0,4476
Dairy - natural land (dry),0,0,0,0,3,0,0,0,0,0,0,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1645
Grapes (dry),0,0,2,1,0,0,0,0,0,0,0,0,234,16,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257
Grapes (irr),0,0,48,9,0,0,0,0,0,0,3,0,512,755,1,4,0,0,1,2,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,4,0,20,0,0,0,1663
Hay (dry),0,0,1330,339,0,0,0,0,0,155,148,0,0,0,6135,10,0,0,0,43,0,0,0,33,5354,0,0,1,0,0,0,0,0,0,0,0,0,0,6,164,0,0,10,302,7,2,0,117,0,16049
Hay (irr),0,1,99,200,0,10,0,2,10,6,49,0,31,0,338,48,0,0,4,7,0,0,2,42,372,0,0,0,0,0,0,15,0,0,2,0,0,0,3,38,0,0,22,102,7,5,0,1,0,1647
Nuts (dry),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,232
Nuts (irr),0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,49,51,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,4,0,9,0,0,0,320
Other non-cereal crops (dry),0,2,24,4,0,0,0,2,0,1,2,0,0,0,1,5,1,0,265,17,0,0,0,0,198,0,0,0,0,1,0,8,0,0,0,8,0,0,0,110,0,0,0,19,2,0,0,11,0,936
Other non-cereal crops (irr),0,0,12,6,0,0,0,0,0,0,16,0,0,0,4,14,2,0,142,84,0,0,1,20,50,0,0,0,0,0,0,0,0,1,2,0,0,0,0,69,0,0,5,20,1,0,0,0,0,515
Pears (irr),0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,27
Plantation fruit (dry),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
Plantation fruit (irr),0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,105
Rice (irr),0,0,0,0,0,51,0,0,0,0,0,0,54,0,9,0,0,0,0,0,0,0,0,302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,74,0,7,0,0,0,785
Sheep - modified land (dry),0,0,0,275,0,0,0,0,0,0,372,0,0,0,670,37,0,0,0,123,0,0,0,0,177991,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5443,0,0,393,1492,249,2103,0,3255,0,207207
Sheep - modified land (irr),0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,22,0,0,0,1,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,68
Sheep - natural land (dry),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187644,0,0,0,0,0,0,0,0,0,0,0,0,0,37735,0,0,0,0,0,0,0,0,225379
Stone fruit (dry),0,2,3,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,62
Stone fruit (irr),0,1,30,11,0,0,0,0,2,0,9,0,17,0,9,0,0,0,0,0,0,0,0,0,18,0,0,35,134,0,0,1,0,0,0,1,0,0,0,75,0,0,12,2,1,2,0,1,0,384
Sugar (dry),0,0,0,0,0,0,0,0,0,2,78,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2976,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3378
Sugar (irr),0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,894,361,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1276
Summer cereals (dry),0,0,0,0,0,0,0,0,0,0,371,0,0,0,2,0,0,0,0,0,0,0,0,0,53,0,0,0,0,1,0,5118,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,6208
Summer cereals (irr),0,0,0,0,0,8,0,3,0,0,44,0,66,0,37,0,0,0,1,4,0,0,0,13,15,0,0,0,0,0,0,131,7,0,0,1,0,0,0,10,0,0,0,7,0,0,0,2,0,404
Summer legumes (dry),0,0,1,0,0,0,0,10,0,4,63,0,0,0,27,0,0,0,0,0,0,1,0,3,60,0,0,0,0,0,0,28,0,194,0,0,0,0,0,93,0,0,0,14,0,0,0,6,0,1043
Summer legumes (irr),0,0,0,0,0,2,0,1,5,0,3,0,15,0,22,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,0,0,0,3,0,0,0,0,0,86
Summer oilseeds (dry),0,0,0,1,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,1,0,0,0,0,47,0,0,0,0,0,0,3,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,326
Summer oilseeds (irr),0,0,1,3,0,1,0,0,0,0,12,0,4,0,18,0,0,0,3,4,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,5,0,0,0,17,0,0,0,8,0,0,0,0,0,104
Tropical stone fruit (dry),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,53
Tropical stone fruit (irr),0,0,12,0,0,0,0,0,0,0,3,0,0,0,8,0,0,1,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,18,0,0,0,13,91,0,0,0,0,0,2,0,0,0,177
Unallocated - modified land (dry),0,0,4168,748,0,0,0,1203,0,85,115,0,241,0,325,8,0,0,208,68,1,0,2,66,22983,0,0,141,0,0,0,0,0,0,0,0,0,0,27,60946,0,0,58,631,17,17,0,187,0,111771
Unallocated - natural land (dry),0,0,0,0,316,0,0,0,0,0,0,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8870,0,0,0,0,0,0,0,0,0,0,0,0,0,2387234,0,0,0,0,0,0,0,0,2397890
Vegetables (dry),0,0,4,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,34
Vegetables (irr),0,2,101,81,0,12,0,0,0,4,99,0,29,0,133,21,0,1,0,16,0,0,1,11,162,0,0,0,0,0,0,1,1,1,36,0,0,0,1,286,0,0,136,36,0,15,0,0,0,1375
Winter cereals (dry),0,0,813,292,0,0,0,0,0,45,598,0,0,0,24,1,0,1,0,177,0,0,0,45,11991,0,0,0,0,0,0,0,0,0,0,0,0,0,3,125,0,0,26,168735,20,40,0,0,0,192877
Winter cereals (irr),0,0,2,29,0,0,0,0,0,0,9,0,1,0,0,1,0,0,0,6,0,0,0,4,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,810,82,0,0,0,0,1132
Winter legumes (dry),0,0,242,13,0,0,0,10,0,6,207,0,0,0,141,3,0,0,0,23,0,0,0,2,3639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,164,7,14249,0,0,0,22384
Winter legumes (irr),0,0,0,1,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,20,0,0,0,45
Winter oilseeds (dry),0,0,2312,76,0,0,0,1,0,1,19,0,0,0,1,1,0,0,0,7,0,0,0,8,3254,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,2,31,0,11407,0,21615
Winter oilseeds (irr),0,0,0,3,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,74,1,107
All,6,75,240930,3217,567211,245,50,6093,640,17681,5935,3118,1313,771,10166,259,391,92,635,789,11,75,78,648,240010,2,196525,212,134,4424,616,6629,8,196,141,300,0,4,64,76014,2500669,0,936,175836,544,17112,0,16943,1,4218733
